"Refid","Bibliography","User","Ris Code","Level","Study ES List_k","effect_intervention_group","effect_comparison_group","effect_outcome","effect_outcome_type","effect_report_number","effect_page","effect_type","effect_timing","effect_favored","effect_icc","effect_intervention_baseline_participants","effect_comparison_baseline_participants","effect_intervention_followup_participants","effect_comparison_followup_participants","effect_intervention_baseline_classrooms","effect_comparison_baseline_classrooms","effect_intervention_followup_classrooms","effect_comparison_followup_classrooms","effect_intervention_baseline_schools","effect_comparison_baseline_schoools","effect_intervention_followup_schools","effect_comparison_followup_schools","effect_intervention_baseline_mean","effect_intervention_baseline_sd","effect_intervention_followup_mean","effect_intervention_followup_sd","effect_comparison_baseline_mean","effect_comparison_baseline_sd","effect_comparison_followup_mean","effect_comparison_followup_sd","effect_intervention_n_successful","effect_intervention_n_unsuccessful","effect_comparison_n_successful","effect_comparison_n_unsuccessful","effect_size_type -> NA - I entered the necessary information above","effect_size_type -> Means and Standard Errors (SEs)","effect_size_type -> Independent t-test","effect_size_type -> One-way ANOVA F-test (with df = 1)","effect_size_type -> Chi-squared test statistic (with df = 1)","effect_size_type -> Unstandardized regression coefficient for treatment dummy indicator","effect_size_type -> Standardized regression coefficient for treatment dummy indicator","effect_size_type -> Author-reported odds ratio","effect_size_type -> Author-reported standardized mean difference","effect_size_type -> Insufficient information to calculate effect size","effect_r_squared","effect_SE_intervention_mean","effect_SE_intervention_se","effect_SE_comparison_mean","effect_SE_comparison_se","effect_t_test","effect_f_test","effect_chi_square","effect_unstandardized_coefficient","effect_unstandardized_sd","effect_standardized_coefficient","effect_standardized_sd","effect_or","effect_or_ci_lower","effect_or_ci_upper","effect_smd","effect_smd_ci_lower","effect_smd_ci_upper","effect_notes"
10121,"Calear, et al 2016 ",mschweer,,8,"2-e-GAD Health-3-Waitlist-6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS-Continuous-0","2-e-GAD Health",3-Waitlist,"6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS",Continuous,10121,214,Post-test,0,Comparison,-999,,,368,334,,,-999,-999,,,11,11,,,-999,-999,,,-999,-999,,,,,,"Means and Standard Errors (SEs)",,,,,,,,,,47.21,0.61,47.90,0.60,,,,,,,,,,,,,,
10121,"Calear, et al 2016 ",mschweer,,8,"2-e-GAD Health-3-Waitlist-6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS-Continuous-26","2-e-GAD Health",3-Waitlist,"6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS",Continuous,10121,214,Post-test,26,Comparison,-999,,,373,423,,,-999,-999,,,11,11,,,-999,-999,,,-999,-999,,,,,,"Means and Standard Errors (SEs)",,,,,,,,,,46.30,0.64,48.77,0.60,,,,,,,,,,,,,,
10121,"Calear, et al 2016 ",mschweer,,8,"2-e-GAD Health-3-Waitlist-6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS-Continuous-52","2-e-GAD Health",3-Waitlist,"6-Warwick-Edinburgh Mental Well-being Scale -WEMWBS",Continuous,10121,214,Post-test,52,Comparison,-999,,,315,193,,,-999,-999,,,11,11,,,-999,-999,,,-999,-999,,,,,,"Means and Standard Errors (SEs)",,,,,,,,,,45.52,0.66,46.91,0.80,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","1-FRIENDS - psychologist led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Pretest,,Comparison,-999,188,137,,,-999,-999,,,-999,-999,,,,,,,,,,,172,16,129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","2-FRIENDS - teacher led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Pretest,,Comparison,-999,263,137,,,-999,-999,,,-999,-999,,,,,,,,,,,245,18,129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","1-FRIENDS - psychologist led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,,,,,,,147,5,78,6,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","2-FRIENDS - teacher led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,,,,,,,245,8,78,6,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","1-FRIENDS - psychologist led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Pretest,,Comparison,-999,188,137,,,-999,-999,,,-999,-999,,,9.18,8.32,,,8.62,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous","2-FRIENDS - teacher led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Pretest,,Intervention,-999,263,137,,,-999,-999,,,-999,-999,,,10.40,7.08,,,11.36,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous","1-FRIENDS - psychologist led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Pretest,,Intervention,-999,188,137,,,-999,-999,,,-999,-999,,,10.96,7.55,,,11.36,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous","1-FRIENDS - psychologist led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Pretest,,Intervention,-999,188,137,,,-999,-999,,,-999,-999,,,26.76,15.23,,,27.44,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","2-FRIENDS - teacher led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Pretest,,Comparison,-999,263,137,,,-999,-999,,,-999,-999,,,9.33,8.65,,,8.62,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous","2-FRIENDS - teacher led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Pretest,,Intervention,-999,263,137,,,-999,-999,,,-999,-999,,,27.00,17.79,,,27.44,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,19.14,11.89,,,23.15,13.04,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-0","2-FRIENDS - teacher led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,18.77,14.45,,,23.15,13.04,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,7.04,6.08,,,9.58,6.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-0","2-FRIENDS - teacher led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,7.35,6.93,,,9.58,6.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"1-FRIENDS - psychologist led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,6.86,6.34,,,7.40,6.19,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",spgrant,,8,"2-FRIENDS - teacher led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","2-FRIENDS - teacher led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Post-test,0,Comparison,-999,,,253,84,,,-999,-999,,,-999,-999,,,11.91,10.07,,,7.40,6.19,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous","2-FRIENDS - teacher led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Pretest,,Intervention,-999,263,137,,,-999,-999,,,-999,-999,,,10.40,7.08,,,11.36,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","2-FRIENDS - teacher led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Pretest,,Comparison,-999,263,137,,,-999,-999,,,-999,-999,,,9.33,8.65,,,8.62,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous","1-FRIENDS - psychologist led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Pretest,,Intervention,-999,188,137,,,-999,-999,,,-999,-999,,,10.96,7.55,,,11.36,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,19.14,11.89,,,23.15,13.04,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-0","2-FRIENDS - teacher led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,7.35,6.93,,,9.58,6.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,6.86,6.34,,,7.40,6.19,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","2-FRIENDS - teacher led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Post-test,0,Comparison,-999,,,253,84,,,-999,-999,,,-999,-999,,,11.91,10.07,,,7.40,6.19,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","1-FRIENDS - psychologist led",3-TAU,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10129,405,Pretest,,Comparison,-999,188,137,,,-999,-999,,,-999,-999,,,9.18,8.32,,,8.62,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous","2-FRIENDS - teacher led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Pretest,,Intervention,-999,263,137,,,-999,-999,,,-999,-999,,,27.00,17.79,,,27.44,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","2-FRIENDS - teacher led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Pretest,,Comparison,-999,263,137,,,-999,-999,,,-999,-999,,,,,,,,,,,245,18,129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-0","2-FRIENDS - teacher led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,18.77,14.45,,,23.15,13.04,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous","1-FRIENDS - psychologist led",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10129,405,Pretest,,Intervention,-999,188,137,,,-999,-999,,,-999,-999,,,26.76,15.23,,,27.44,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","1-FRIENDS - psychologist led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Pretest,,Comparison,-999,188,137,,,-999,-999,,,-999,-999,,,,,,,,,,,172,16,129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-0","1-FRIENDS - psychologist led",3-TAU,"2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10129,405,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,7.04,6.08,,,9.58,6.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"1-FRIENDS - psychologist led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","1-FRIENDS - psychologist led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Post-test,0,Intervention,-999,,,152,84,,,-999,-999,,,-999,-999,,,,,,,,,147,5,78,6,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,"Barrett, et al 2001 ",mschweer,,8,"2-FRIENDS - teacher led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","2-FRIENDS - teacher led",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10129,407,Post-test,0,Intervention,-999,,,253,84,,,-999,-999,,,-999,-999,,,,,,,,,245,8,78,6,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-3-SMFQ-SMFQ-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment",3-SMFQ-SMFQ,Continuous,10131,875,Pretest,,Intervention,-999,801,638,,,-999,-999,,,-999,-999,,,3.76,4.53,,,4.35,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff-Categorical","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff",Categorical,10131,873,Pretest,,Comparison,-999,835,672,,,-999,-999,,,-999,-999,,,,,,,,,,,723,112,594,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED",Continuous,10131,875,Pretest,,Intervention,-999,801,638,,,-999,-999,,,-999,-999,,,10.75,11.24,,,11.09,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED",Continuous,10131,875,Post-test,34.76,Intervention,-999,,,801,638,,,-999,-999,,,-999,-999,,,8.97,9.58,,,10.98,11.33,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-3-SMFQ-SMFQ-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment",3-SMFQ-SMFQ,Continuous,10131,875,Post-test,34.76,Intervention,-999,,,801,638,,,-999,-999,,,-999,-999,,,3.90,4.23,,,4.29,4.30,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C",Continuous,10131,875,Pretest,,Comparison,-999,835,672,,,-999,-999,,,-999,-999,,,9.44,7.76,,,9.22,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C",Continuous,10131,875,Post-test,34.76,Intervention,-999,,,854,692,,,-999,-999,,,-999,-999,,,7.02,6.96,,,8.28,7.51,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",spgrant,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff-Categorical-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff",Categorical,10131,873,Post-test,34.76,Intervention,-999,,,854,692,,,-999,-999,,,-999,-999,,,,,,,,,779,75,623,69,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED",Continuous,10131,875,Pretest,,Intervention,-999,801,638,,,-999,-999,,,-999,-999,,,10.75,11.24,,,11.09,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-3-SMFQ-SMFQ-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment",3-SMFQ-SMFQ,Continuous,10131,875,Post-test,34.76,Intervention,-999,,,801,638,,,-999,-999,,,-999,-999,,,3.90,4.23,,,4.29,4.30,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-3-SMFQ-SMFQ-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment",3-SMFQ-SMFQ,Continuous,10131,875,Pretest,,Intervention,-999,801,638,,,-999,-999,,,-999,-999,,,3.76,4.53,,,4.35,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","2-Screen for Child Anxiety Related Disorders (SCARED)-SCARED",Continuous,10131,875,Post-test,34.76,Intervention,-999,,,801,638,,,-999,-999,,,-999,-999,,,8.97,9.58,,,10.98,11.33,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C-Continuous","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C",Continuous,10131,875,Pretest,,Comparison,-999,835,672,,,-999,-999,,,-999,-999,,,9.44,7.76,,,9.22,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C-Continuous-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","1-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C",Continuous,10131,875,Post-test,34.76,Intervention,-999,,,854,692,,,-999,-999,,,-999,-999,,,7.02,6.96,,,8.28,7.51,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff-Categorical","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff",Categorical,10131,873,Pretest,,Comparison,-999,835,672,,,-999,-999,,,-999,-999,,,,,,,,,,,723,112,594,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,"Aune, et al 2009 ",mschweer,,8,"1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff-Categorical-34.76","1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)","2-No Treatment","4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff",Categorical,10131,873,Post-test,34.76,Intervention,-999,,,854,692,,,-999,-999,,,-999,-999,,,,,,,,,779,75,623,69,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
